vagrant@vagrant-ros:/workspace$ ros2 launch emotion_detection main.launch.py
[INFO] [launch]: All log files can be found below /home/vagrant/.ros/log/2023-05-19-03-53-11-841425-vagrant-ros-2527
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [face_detection-1]: process started with pid [2529]
[INFO] [emotion_detection-2]: process started with pid [2531]
[INFO] [action_client-3]: process started with pid [2533]
[face_detection-1] [INFO] [1684468437.286934127] [face_recognition]: Publishing video frame: 194
[face_detection-1] [INFO] [1684468437.430902740] [face_recognition]: Publishing video frame: 195
[face_detection-1] [INFO] [1684468437.550288146] [face_recognition]: Publishing video frame: 196
[face_detection-1] [INFO] [1684468437.751936840] [face_recognition]: Publishing video frame: 197
[face_detection-1] [INFO] [1684468437.896312262] [face_recognition]: Publishing video frame: 198
[face_detection-1] [INFO] [1684468438.113353500] [face_recognition]: Publishing video frame: 199
[face_detection-1] [INFO] [1684468438.291406440] [face_recognition]: Publishing video frame: 200
[face_detection-1] [INFO] [1684468438.489658374] [face_recognition]: Publishing video frame: 201
[emotion_detection-2] [INFO] [1684468438.663238665] [emotion_detection]: predicted emotion: Neutral
[action_client-3] [INFO] [1684468438.666824548] [action_client]: Emotion denied -> exiting...
[emotion_detection-2] [INFO] [1684468438.680820461] [emotion_detection]: emotion declined!
[face_detection-1] [INFO] [1684468438.691739391] [face_recognition]: Publishing video frame: 202
[face_detection-1] [INFO] [1684468438.863118159] [face_recognition]: Publishing video frame: 203
[face_detection-1] [INFO] [1684468439.027212423] [face_recognition]: Publishing video frame: 204
[face_detection-1] [INFO] [1684468439.199942563] [face_recognition]: Publishing video frame: 205
[face_detection-1] [INFO] [1684468439.397002976] [face_recognition]: Publishing video frame: 206
[face_detection-1] [INFO] [1684468439.642141176] [face_recognition]: Publishing video frame: 207
[face_detection-1] [INFO] [1684468439.856222750] [face_recognition]: Publishing video frame: 208
[emotion_detection-2] [INFO] [1684468440.049468092] [emotion_detection]: predicted emotion: Neutral
[face_detection-1] [INFO] [1684468440.049614050] [face_recognition]: Publishing video frame: 209
[action_client-3] [INFO] [1684468440.060874422] [action_client]: Emotion denied -> exiting...
[emotion_detection-2] [INFO] [1684468440.074679440] [emotion_detection]: emotion declined!
[face_detection-1] [INFO] [1684468440.210168370] [face_recognition]: Publishing video frame: 210
[face_detection-1] [INFO] [1684468440.341581028] [face_recognition]: Publishing video frame: 211
[face_detection-1] [INFO] [1684468440.500201062] [face_recognition]: Publishing video frame: 212
[face_detection-1] [INFO] [1684468440.675141784] [face_recognition]: Publishing video frame: 213
[face_detection-1] [INFO] [1684468440.822430153] [face_recognition]: Publishing video frame: 214
[face_detection-1] [INFO] [1684468441.022795481] [face_recognition]: Publishing video frame: 215
[face_detection-1] [INFO] [1684468441.214031877] [face_recognition]: Publishing video frame: 216
[emotion_detection-2] [INFO] [1684468441.265356587] [emotion_detection]: predicted emotion: Neutral
[action_client-3] [INFO] [1684468441.269820648] [action_client]: Emotion denied -> exiting...
[emotion_detection-2] [INFO] [1684468441.276723758] [emotion_detection]: emotion declined!
[face_detection-1] [INFO] [1684468441.452396667] [face_recognition]: Publishing video frame: 217
[face_detection-1] [INFO] [1684468441.638838078] [face_recognition]: Publishing video frame: 218
[face_detection-1] [INFO] [1684468441.858493725] [face_recognition]: Publishing video frame: 219
[face_detection-1] [INFO] [1684468442.018148283] [face_recognition]: Publishing video frame: 220
[face_detection-1] [INFO] [1684468442.166319465] [face_recognition]: Publishing video frame: 221
[face_detection-1] [INFO] [1684468442.396774817] [face_recognition]: Publishing video frame: 222
[face_detection-1] [INFO] [1684468442.651946305] [face_recognition]: Publishing video frame: 223
[face_detection-1] [INFO] [1684468442.811702603] [face_recognition]: Publishing video frame: 224
[face_detection-1] [INFO] [1684468443.020252972] [face_recognition]: Publishing video frame: 225
[face_detection-1] [INFO] [1684468443.192012894] [face_recognition]: Publishing video frame: 226
[face_detection-1] [INFO] [1684468443.355715536] [face_recognition]: Publishing video frame: 227
